"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분","폐교여부","폐교일자","휴교여부"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000962","일산중학교","03","공립","","N","단설","주간","19530423","19530423","4128710100","경기도 고양시 일산서구 일산1동","966-50.","411826","10348","경기도 고양시 일산서구 원일로 53","(일산동)","37.6889725794","126.7684365679","031-839-6900","031-975-1980","https://ilsan-m.goegy.kr/ilsan-m/main.do","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000963","장성중학교","03","공립","","N","단설","주간","19941101","19941101","4128710400","경기도 고양시 일산서구 대화동","2096번지.","411410","10367","경기도 고양시 일산서구 대산로 254","(대화동)","37.6813621417","126.7512334149","031-929-1821","031-911-1767","https://jangsung-m.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000964","저동중학교","03","공립","","N","단설","주간","19941101","19941101","4128510300","경기도 고양시 일산동구 정발산동","1192번지.","410829","10359","경기도 고양시 일산동구 무궁화로 159",", 저동중학교 (정발산동)","37.6708094631","126.7781094695","031-915-1903","031-915-1905","jeodong-m.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000965","정발중학교","03","공립","","N","단설","주간","19950501","19950501","4128510500","경기도 고양시 일산동구 마두동","811번지.","410350","10408","경기도 고양시 일산동구 정발산로 115","(마두동, 정발중학교)","37.6594945995","126.7808041593","031-902-3381","031-902-3385","jeongbal-m.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000966","중산중학교","03","공립","","N","단설","주간","19950901","19950901","4128510200","경기도 고양시 일산동구 중산동","1575-2.","410831","10332","경기도 고양시 일산동구 탄중로 361","(중산동,중산중학교)","37.6914122047","126.7834993786","031-960-6301","031-977-6495","jungsan-m.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000967","지도중학교","03","공립","","N","단설","주간","19970506","19970114","4128112300","경기도 고양시 덕양구 화정2동","1134.","412272","10504","경기도 고양시 덕양구 성신로 46",", 지도중학교 (화정동)","37.6270920822","126.834059069","031-830-8000","031-973-2254","https://jido-m.goegy.kr/jido-m/main.do","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000969","한수중학교","03","공립","","N","단설","주간","19940301","19940228","4128710200","경기도 고양시 일산서구 주엽동","131번지.","411370","10384","경기도 고양시 일산서구 주엽로 117","(주엽동)","37.6698833088","126.7562272515","031-929-4700","031-912-4070","hansu-m.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000970","행신중학교","03","공립","","N","단설","주간","19950501","19950501","4128112800","경기도 고양시 덕양구 행신동","784.","412220","10530","경기도 고양시 덕양구 화신로 22",", 행신중학교 (행신동)","37.6151679491","126.8395788596","031-970-2334","031-970-2336","https://haengshin-m.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000971","호곡중학교","03","공립","","N","단설","주간","20020301","20020301","4128710300","경기도 고양시 일산서구","탄현로 110.","411839","10249","경기도 고양시 일산서구 탄현로 110","(탄현동)","37.7016365977","126.7683971791","031-929-2500","031-929-2566","hogok-m.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000972","화수중학교","03","공립","","N","단설","주간","19950901","19950901","4128112300","경기도 고양시 덕양구 화정동","855번지.","412270","10473","경기도 고양시 덕양구 화수로 47","(화정동, 화수중학교)","37.6452247518","126.8349580729","031-965-4385","031-965-4386","hwasu-m.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000973","화정중학교","03","공립","","N","단설","주간","19951101","19951101","4128112300","경기도 고양시 덕양구 화정동","941.","412270","10501","경기도 고양시 덕양구 화신로 343","(화정동, 화정중학교)","37.6349341045","126.8264384928","031-930-1900","031-930-1903","https://hwajung-m.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001188","가림중학교","03","공립","","N","단설","주간","19910605","19910122","4121010300","경기도 광명시 하안3동","261.","423853","14309","경기도 광명시 오리로 616","(하안동,가림중학교)","37.457637052","126.8796817996","02-6917-0200","02-895-7516","garim-m.goegm.kr","남녀공학","N","","N"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001189","광남중학교","03","공립","","N","단설","주간","19821002","19820126","4121010100","경기도 광명시 광명6동","384-6호.","423817","14296","경기도 광명시 광명로 785","(광명동,광남중학교)","37.4708348155","126.8481706709","02-2617-6071","02-2619-1994","https://knam-m.goegm.kr/knam-m/main.do","남녀공학","N","","N"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001190","광명북중학교","03","공립","","N","단설","주간","19851218","19851218","4121010200","경기도 광명시 철산1동","59번지.","423830","14225","경기도 광명시 시청로 121",", 광명북중학교 (철산동)","37.4875573395","126.8658798985","02-2687-3801","02-2689-3682","https://gmbuk-m.goegm.kr","남녀공학","N","","N"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001191","하안북중학교","03","공립","","N","단설","주간","19751206","19751206","4121010300","경기도 광명시 하안1동","684번지.","423854","14258","경기도 광명시 가림로 22",", 하안북중학교 (하안동)","37.4648615963","126.8680817108","02-898-3820","02-898-7497","https://haanbuk-m.goegm.kr/","남녀공학","N","","N"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001192","광명중학교","03","공립","","N","단설","주간","19711227","19711227","4121010200","경기도 광명시 철산3동 223~236","234-3   .","423834","14234","경기도 광명시 오리로876번길 27",", 광명중학교 (철산동)","37.4780945796","126.8671449561","02-2684-3669","02-2616-9170","https://km-m.goegm.kr","남녀공학","N","","N"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001194","소하중학교","03","공립","","N","단설","주간","19970301","19970301","4121010400","경기도 광명시 소하동","소하중학교.","423050","14317","경기도 광명시 소하일로 31","(소하동, 소하중학교)","37.4483534559","126.8874447561","02-895-8389","02-895-8388","https://soha-m.goegm.kr","남녀공학","N","","N"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001195","안서중학교","03","공립","","N","단설","주간","19681012","19681012","4121010400","",".","","14326","경기도 광명시 기아로13번안길 9-9","(소하동,안서중학교)","37.4383578565","126.882157921","02-6911-4200","02-899-2590","anseo-m.goegm.kr","남녀공학","N","","N"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001196","철산중학교","03","공립","","N","단설","주간","19830102","19830102","4121010200","경기도 광명시 철산3동","558번지.","423033","14243","경기도 광명시 철망산로 71",", (철산동,철산중학교) (철산동)","37.4704491217","126.8758991288","02-2610-4500","02-2610-4598","https://cheolsan-m.goegm.kr/cheolsan-m/main.do","남녀공학","N","","N"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001198","하안중학교","03","공립","","N","단설","주간","19930504","19930111","4121010300","경기도 광명시 하안4동","25번지.","423064","14247","경기도 광명시 안현로 80-1","(하안동, 하안중학교)","37.4673906965","126.8807649225","02-895-8505","02-896-8506","haan-m.goegm.kr","남녀공학","N","","N"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001267","경안중학교","03","공립","","N","단설","주간","19940301","19940301","4161011100","경기도 광주시 장지동","61-20.","464070","12777","경기도 광주시 장지1길 6",", 경안중학교 (장지동)","37.3951938888","127.247266601","031-763-4214","031-763-7739","https://kyongan-m.goegh.kr","남녀공학","N","","N"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001268","경화여자중학교","03","사립","","N","단설","주간","19750601","19750601","4161010300","경기도 광주시 송정동","11번지.","464901","12741","경기도 광주시 수하길11번길 43","(송정동)","37.4198178176","127.2635291681","031-799-0400","0317688239","https://www.goegh.kr/kyunghwa-m/main.do","녀","N","","N"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001269","광수중학교","03","공립","","N","단설","주간","19670401","19670401","4161034025","경기도 광주시 퇴촌면 도수리","587.","464841","12711","경기도 광주시 퇴촌면 도수길23번길 23","(퇴촌면, 광수중학교)","37.473527344","127.3196680058","031-768-3101","031-768-3104","https://gwangsu-m.goegh.kr","남녀공학","N","","N"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001270","광일중학교","03","공립","","N","단설","주간","19801210","19801210","4161033021","경기도 광주시 도척면 노곡리","241-2.","12815","12815","경기도 광주시 도척면 노곡로 32","(도척면,광일중학교)","37.3037701351","127.3307238048","031-762-5013","031-763-8720","https://kwangil-m.goegh.kr/kwangil-m/main.do","남녀공학","N","","N"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001271","곤지암중학교","03","공립","","N","병설","주간","19550525","19550427","4161025921","경기도 광주시 곤지암읍 곤지암리","453-12.","464872","12804","경기도 광주시 곤지암읍 곤지암로 82","(곤지암읍,곤지암중학교)","37.3474766815","127.3373032864","031-762-6034","031-763-1773","https://gonjiam-m.goegh.kr","남녀공학","N","","N"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001272","광주중학교","03","공립","","N","단설","주간","19460326","19460326","4161010100","경기도 광주시 경안동","45번지.","464010","12761","경기도 광주시 경안로42번길 11",", 광주중학교 (경안동)","37.4095141401","127.2547369426","031-761-2255","031-761-3220","https://gwangju-m.goegh.kr","남","N","","N"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001273","남한중학교","03","공립","","N","단설","주간","19600210","19600210","4145010600","경기도 하남시 신장2동","367-5번지.","465032","12949","경기도 하남시 하남대로802번길 21",", 남한중학교 (신장동)","37.5427011636","127.2092851559","031-750-4600","031-794-1294","https://namhan-m.goegh.kr/","남녀공학","N","","N"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001274","동부중학교","03","공립","","N","단설","주간","19811126","19811126","4145010800","경기도 하남시 덕풍동","450-1.","465010","12978","경기도 하남시 신평로",", 15 (덕풍동)","37.5355342414","127.2022638325","031-790-9224","031-790-9208","https://dongbu-m.goegh.kr","남녀공학","N","","N"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001275","신장중학교","03","공립","","N","단설","주간","19940301","19940301","4145010600","경기도 하남시 신장2동","527-1.","465812","12946","경기도 하남시 대청로59번길 37","(신장동, 신장중학교)","37.5431453026","127.2187596968","031-794-8238","031-795-8259","https://sinjang-m.goegh.kr/","남녀공학","N","","N"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001276","탄벌중학교","03","공립","","N","단설","주간","20050301","20050301","4161010500","",".","","12749","경기도 광주시 포돌이로 77","(탄벌동,탄벌중학교)","37.412894149","127.2434796729","031-767-2575","031-766-0197","https://tanbeol-m.goegh.kr","남녀공학","N","","N"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001277","하남중학교","03","공립","","N","단설","주간","19940607","19940302","4145010300","경기도 하남시 창우동","521-5번지.","465120","12955","경기도 하남시 천현로 113",", 하남중학교 (창우동)","37.5364521027","127.2229264869","031-794-6126","031-794-6127","https://hanam-m.goegh.kr/hanam-m/main.do","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001365","갈뫼중학교","03","공립","","N","단설","주간","20020301","20020301","4143010700","경기도 의왕시 내손동","785번지.","437080","16041","경기도 의왕시 갈미로 61","(내손동,갈뫼중학교) 031-400-9014(행정실)","37.3772274248","126.9747589528","031-400-9004 031-400-9014","031-425-3216","https://galmoejung.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001366","고천중학교","03","공립","","N","단설","주간","19940406","19940228","4143010500","경기도 의왕시 오전동","413번지.","437822","16065","경기도 의왕시 백운로 25","(오전동, 고천중학교)","37.353002015","126.9824872874","031-458-8624","031-458-8629","https://gocheonjung.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001367","곡란중학교","03","공립","","N","단설","주간","19940901","19940228","4141010400","",".","","15802","경기도 군포시 곡란로 95","(산본동,곡란중학교)","37.3729023091","126.9296732445","031-463-8225","031-395-0035","http://gokranjung.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001368","군포중학교","03","공립","","N","단설","주간","19821028","19820210","4141010100","경기도 군포시 당동","735번지.","435010","15838","경기도 군포시 금당로124번길 19","(당동, 군포중학교)","37.3579749678","126.9449028814","031-412-3802","031-459-3446","gunpojung.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001369","궁내중학교","03","공립","","N","단설","주간","19940228","19940228","4141010400","경기도 군포시 산본동","1149-5.","435040","15819","경기도 군포시 수리산로 171","(산본동)","37.3639140959","126.9190614081","031-389-8000","031-396-0035","http://gungnaejung.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001370","금정중학교","03","공립","","N","단설","주간","19931002","19930901","4141010500","경기도 군포시 금정동","870-5.","435050","15833","경기도 군포시 오금로 114","(금정동, 금정중학교)","37.3568439763","126.9389845708","031-688-4100","031-688-4108","http://geumjeongjung.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001371","도장중학교","03","공립","","N","단설","주간","19930304","19930111","4141010400","경기도 군포시 산본동","1145-9번지.","435040","15866","경기도 군포시 고산로 460","(산본동, 도장중학교)","37.355608098","126.9268585375","031-5183-2311","031-391-2265","https://dojangjung.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001372","백운중학교","03","공립","","N","단설","주간","19880301","19880301","4143010900","경기도 의왕시 포일동","177-5번지.","437829","16013","경기도 의왕시 안양판교로 168","(포일동, 백운중학교)","37.3904711112","126.9896380127","031-8040-7500","031-421-3185","http://baekunjung.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001374","산본중학교","03","공립","","N","단설","주간","19850121","19850121","4141010400","경기도 군포시 산본동","1088-6.","435040","15804","경기도 군포시 산본로432번길 17","(산본동, 산본중학교)","37.369480501","126.9271702053","031-393-7703","031-393-6334","https://sanbonjung.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001375","수리중학교","03","공립","","N","단설","주간","19940406","19940406","4141010400","경기도 군포시 산본동","1150-1.","435040","15819","경기도 군포시 수리산로 139","(산본동, 수리중학교)","37.3612286596","126.9185134329","031-390-4201","031-396-0055","http://surijung.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001376","용호중학교","03","공립","","N","단설","주간","19970114","19970114","4141010100","경기도 군포시 당동","883.","435010","15876","경기도 군포시 용호2로54번길 14","(당동,용호중학교)","37.3430249714","126.9446339282","031-398-4361","031-398-4365","http://yonghojung.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001377","의왕부곡중학교","03","공립","","N","단설","주간","19930111","19930111","4143011000","경기도 의왕시 월암동","430-25.","437050","16101","경기도 의왕시 부곡중학길 61","(월암동,의왕부곡중학교)","37.3147808326","126.9566758484","031-461-3603","031-461-2593","https://uiwangbugokjung.goegu.kr/index.do","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001378","의왕중학교","03","공립","","N","단설","주간","19850121","19850121","4143010500","경기 의왕시 오전동","350-1.","437822","16059","경기 의왕시 등칙골길 28","(오전동,의왕중학교)","37.3518428609","126.975062037","031-453-8953","031-450-1515","uiwangjung.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001379","흥진중학교","03","공립","","N","단설","주간","19910311","19910311","4141010500","경기도 군포시 금정동","875-6.","435050","15864","경기 군포시 오금로 15-35","(금정동,흥진중학교)","37.353028633","126.9286263074","031-390-5174","031-390-5169","http://heungjinjung.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001487","고촌중학교","03","공립","","N","단설","주간","20010126","20010126","4157025324","경기도 김포시 고촌읍 신곡리","446-2 고촌중학교.","415811","10124","경기도 김포시 고촌읍 신곡로 106","(고촌읍, 고촌중학교)","37.6085607977","126.7679340916","031-986-0235","031-986-2415","https://gochon-m.gpoe.kr/","남녀공학","N","","N"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001488","김포여자중학교","03","공립","","N","단설","주간","19550427","19550427","4157010600","경기도 김포시 사우동","216.","415801","10107","경기도 김포시 봉화로 37-15",", 김포여자중학교 (사우동)","37.6184300868","126.712986342","031-983-2071","031-983-2072","https://gimpog-m.gpoe.kr","녀","N","","N"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001489","금파중학교","03","공립","","N","단설","주간","19990506","19990115","4157010100","경기도 김포시 북변동","811.","415030","10097","경기도 김포시 김포대로926번길 88-9","(북변동)","37.6240775172","126.7190000268","031-998-4121","031-998-4125","https://gumpa-m.gpoe.kr","남녀공학","N","","N"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001490","김포중학교","03","공립","","N","단설","주간","19360417","19360417","4157010600","",".","","10106","경기도 김포시 봉화로 83",", 김포중학교 (북변동)","37.6222598344","126.7080736427","031-982-2171","031-982-2176","https://gimpo-m.gpoe.kr","남","N","","N"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001491","대곶중학교","03","공립","","N","단설","주간","19711110","19710725","4157034025","경기도 김포시 대곶면 율생리","336-2.","415854","10039","경기도 김포시 대곶면 율생중앙로 8","(대곶면)","37.6493358964","126.5837199347","031-987-0148","031-987-6828","https://daegot-m.gpoe.kr","남녀공학","N","","N"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001492","분진중학교","03","사립","","N","단설","주간","19640307","19640307","4157035021","경기도 김포시 월곶면 군하리","70번지.","415875","10024","경기도 김포시 월곶면 애기봉로11번길 86","(월곶면,분진중학교)","37.7192738988","126.5529773466","031-987-1725","031-981-1745","https://bunjin-m.gpoe.kr","남녀공학","N","","N"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001493","양곡중학교","03","사립","","N","단설","주간","19531115","19531115","4157025621","경기도 김포시 양촌읍","286-1.","415840","10057","경기도 김포시 양촌읍 양곡4로 138",", 양곡중학교 (양촌읍)","37.6596574204","126.6250733359","031-981-0140","031-981-0148","https://yanggok-m.gpoe.kr/","남녀공학","N","","N"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001494","장기중학교","03","공립","","N","단설","주간","20010301","20010301","4157010400","",".","","10082","경기도 김포시 청송로 5","(장기동,장기중학교)","37.6478441333","126.6646925108","031-986-7301","031-986-7308","https://janggi-m.gpoe.kr","남녀공학","N","","N"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001495","통진중학교","03","사립","","N","단설","주간","19510401","19510401","4157025022","경기도 김포시 통진읍 마송리","23번지.","415861","10032","경기도 김포시 통진읍 김포대로 2165",", 통진중학교 (통진읍)","37.6858279331","126.6016825439","031-987-1122","031-987-0137","https://tongjin-m.gpoe.kr","남녀공학","N","","N"
